Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
40	a	sp|O15446|RPA34_HUMAN	O15446	RPA34_HUMAN	CD3EAP	510	11.40	Homo sapiens OX=9606	DNA-directed RNA polymerase I subunit RPA34 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	3	3	0	4492605	4492605	     0			
41	a	sp|O15498|YKT6_HUMAN	O15498	YKT6_HUMAN	YKT6	198	19.20	Homo sapiens OX=9606	Synaptobrevin homolog YKT6 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	2	2	0	6848102	6848102	     0			
42	a	sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	522	4.20	Homo sapiens OX=9606	U4/U6 small nuclear ribonucleoprotein Prp4 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	0	2	2	0	2236728	2236728	     0			
43	a	sp|O43272|PROD_HUMAN	O43272	PROD_HUMAN	PRODH	600	5.50	Homo sapiens OX=9606	Proline dehydrogenase 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|A0A087WWM6|A0A087WWM6_HUMAN, tr|E7EQL6|E7EQL6_HUMAN
44	a	sp|O43395|PRPF3_HUMAN	O43395	PRPF3_HUMAN	PRPF3	683	2.80	Homo sapiens OX=9606	U4/U6 small nuclear ribonucleoprotein Prp3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	810908	810908	     0			
45	a	sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	6.40	Homo sapiens OX=9606	Trans-Golgi network integral membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	286049	286049	     0			tr|A0A5F9UY30|A0A5F9UY30_HUMAN, tr|A0A5H1ZRP2|A0A5H1ZRP2_HUMAN
46	a	sp|O43598|DNPH1_HUMAN	O43598	DNPH1_HUMAN	DNPH1	174	25.30	Homo sapiens OX=9606	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	9	9	0	21792014	21792014	     0			tr|H0Y8X4|H0Y8X4_HUMAN
47	a	sp|O43674|NDUB5_HUMAN	O43674	NDUB5_HUMAN	NDUFB5	189	24.90	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	11	11	0	48376895	48376895	     0			tr|E7EWP0|E7EWP0_HUMAN, tr|H0Y886|H0Y886_HUMAN
48	a	sp|O43676|NDUB3_HUMAN	O43676	NDUB3_HUMAN	NDUFB3	98	38.50	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	9	9	0	52432557	52432557	     0			tr|C9JKQ2|C9JKQ2_HUMAN
49	a	sp|O43678|NDUA2_HUMAN	O43678	NDUA2_HUMAN	NDUFA2	99	41.40	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	16	16	0	18509986	18509986	     0			
50	a	sp|O43813|LANC1_HUMAN	O43813	LANC1_HUMAN	LANCL1	399	37.80	Homo sapiens OX=9606	Glutathione S-transferase LANCL1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	9	9	0	11242301	11242301	     0			tr|E9PHS0|E9PHS0_HUMAN, tr|F8WDS9|F8WDS9_HUMAN
51	a	sp|O43818|U3IP2_HUMAN	O43818	U3IP2_HUMAN	RRP9	475	5.70	Homo sapiens OX=9606	U3 small nucleolar RNA-interacting protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	6	6	0	2280982	2280982	     0			
52	a	sp|O43854|EDIL3_HUMAN	O43854	EDIL3_HUMAN	EDIL3	480	13.10	Homo sapiens OX=9606	EGF-like repeat and discoidin I-like domain-containing protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	2	2	0	3842336	3842336	     0			
53	a	sp|O43920|NDUS5_HUMAN	O43920	NDUS5_HUMAN	NDUFS5	106	34.00	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	18	18	0	48955994	48955994	     0			
54	a	sp|O60493|SNX3_HUMAN	O60493	SNX3_HUMAN	SNX3	162	41.40	Homo sapiens OX=9606	Sorting nexin-3 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	7	0	15	12	0	75782875	68730464	     0	N-term(42.0106)		
55	a	sp|O60763|USO1_HUMAN	O60763	USO1_HUMAN	USO1	962	26.60	Homo sapiens OX=9606	General vesicular transport factor p115 	1:Experimental evidence at protein level	1.0000	0.9990	18	19	19	0	30	30	0	24815552	24815552	     0			
56	a	sp|O60783|RT14_HUMAN	O60783	RT14_HUMAN	MRPS14	128	28.90	Homo sapiens OX=9606	28S ribosomal protein S14, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	11	11	0	13436734	13436734	     0			
57	a	sp|O60826|CCD22_HUMAN	O60826	CCD22_HUMAN	CCDC22	627	4.90	Homo sapiens OX=9606	Coiled-coil domain-containing protein 22 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	1257007	1257007	     0			
58	a	sp|O60828|PQBP1_HUMAN	O60828	PQBP1_HUMAN	PQBP1	265	12.00	Homo sapiens OX=9606	Polyglutamine-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	3	3	0	2181394	2181394	     0			tr|H7C053|H7C053_HUMAN
59	a	sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	15.40	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5B 	1:Experimental evidence at protein level	1.0000	0.9990	12	13	13	0	9	9	0	64615295	64615295	     0			tr|A0A087WUT6|A0A087WUT6_HUMAN
60	a	sp|O60869|EDF1_HUMAN	O60869	EDF1_HUMAN	EDF1	148	16.90	Homo sapiens OX=9606	Endothelial differentiation-related factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	4	4	0	10119746	10119746	     0			
61	a	sp|O60888|CUTA_HUMAN	O60888	CUTA_HUMAN	CUTA	179	20.70	Homo sapiens OX=9606	Protein CutA 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	6	6	0	16948519	16948519	     0			tr|C9IZG4|C9IZG4_HUMAN
62	a	sp|O75146|HIP1R_HUMAN	O75146	HIP1R_HUMAN	HIP1R	1068	9.10	Homo sapiens OX=9606	Huntingtin-interacting protein 1-related protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	5	5	0	8047819	8047819	     0			
63	a	sp|O75306|NDUS2_HUMAN	O75306	NDUS2_HUMAN	NDUFS2	463	46.20	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	15	23	23	0	42	42	0	44750979	44750979	     0			
64	a	sp|O75312|ZPR1_HUMAN	O75312	ZPR1_HUMAN	ZPR1	459	6.50	Homo sapiens OX=9606	Zinc finger protein ZPR1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	5	5	0	4774570	4774570	     0			tr|H7BZM7|H7BZM7_HUMAN, tr|H7C0E5|H7C0E5_HUMAN
65	a	sp|O75368|SH3L1_HUMAN	O75368	SH3L1_HUMAN	SH3BGRL	114	52.60	Homo sapiens OX=9606	SH3 domain-binding glutamic acid-rich-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	3	3	0	3642349	3642349	     0			
66	a	sp|O75381|PEX14_HUMAN	O75381	PEX14_HUMAN	PEX14	377	27.90	Homo sapiens OX=9606	Peroxisomal membrane protein PEX14 	1:Experimental evidence at protein level	1.0000	0.9990	5	7	7	0	12	12	0	8904224	8904224	     0	N-term(42.0106)		
67	a	sp|O75382|TRIM3_HUMAN	O75382	TRIM3_HUMAN	TRIM3	744	3.80	Homo sapiens OX=9606	Tripartite motif-containing protein 3 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	0	1	1	0	806818	806818	     0			tr|A0A1W2PPI7|A0A1W2PPI7_HUMAN
68	a	sp|O75438|NDUB1_HUMAN	O75438	NDUB1_HUMAN	NDUFB1	58	32.80	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	2	2	0	19068224	19068224	     0			
69	a	sp|O75531|BAF_HUMAN	O75531	BAF_HUMAN	BANF1	89	42.70	Homo sapiens OX=9606	Barrier-to-autointegration factor 	1:Experimental evidence at protein level	1.0000	0.9990	3	6	6	0	9	9	0	64448114	64448114	     0			
70	a	sp|O75607|NPM3_HUMAN	O75607	NPM3_HUMAN	NPM3	178	17.40	Homo sapiens OX=9606	Nucleoplasmin-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	1	1	0	5693353	5693353	     0			
71	a	sp|O75691|UTP20_HUMAN	O75691	UTP20_HUMAN	UTP20	2785	2.50	Homo sapiens OX=9606	Small subunit processome component 20 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	0	3	3	0	9008415	9008415	     0			
72	a	sp|O75694|NU155_HUMAN	O75694	NU155_HUMAN	NUP155	1391	11.40	Homo sapiens OX=9606	Nuclear pore complex protein Nup155 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	0	21	21	0	10112697	10112697	     0			tr|E9PF10|E9PF10_HUMAN
73	a	sp|O75695|XRP2_HUMAN	O75695	XRP2_HUMAN	RP2	350	6.90	Homo sapiens OX=9606	Protein XRP2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	572744	572744	     0			
74	a	sp|O75718|CRTAP_HUMAN	O75718	CRTAP_HUMAN	CRTAP	401	7.50	Homo sapiens OX=9606	Cartilage-associated protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	6	6	0	6980922	6980922	     0			tr|C9JP16|C9JP16_HUMAN
75	a	sp|O75764|TCEA3_HUMAN	O75764	TCEA3_HUMAN	TCEA3	348	7.50	Homo sapiens OX=9606	Transcription elongation factor A protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|S4R3M9|S4R3M9_HUMAN
76	a	sp|O75817|POP7_HUMAN	O75817	POP7_HUMAN	POP7	140	18.20	Homo sapiens OX=9606	Ribonuclease P protein subunit p20 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	0	1	1	0	8710310	8710310	     0			tr|C9JYM0|C9JYM0_HUMAN
77	a	sp|O75844|FACE1_HUMAN	O75844	FACE1_HUMAN	ZMPSTE24	475	10.50	Homo sapiens OX=9606	CAAX prenyl protease 1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	3	3	0	1529418	1529418	     0			
78	a	sp|O75879|GATB_HUMAN	O75879	GATB_HUMAN	GATB	557	9.20	Homo sapiens OX=9606	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	0	2	2	0	2265473	2265473	     0			tr|D6RDU9|D6RDU9_HUMAN, tr|D6REA0|D6REA0_HUMAN
79	a	sp|O75880|SCO1_HUMAN	O75880	SCO1_HUMAN	SCO1	301	24.40	Homo sapiens OX=9606	Protein SCO1 homolog, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	0	13	13	0	24919107	24919107	     0			tr|J3QL56|J3QL56_HUMAN
80	a	sp|O75886|STAM2_HUMAN	O75886	STAM2_HUMAN	STAM2	525	9.50	Homo sapiens OX=9606	Signal transducing adapter molecule 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	3	0	1	0	0	2053909	     0	     0			
81	a	sp|O75934|SPF27_HUMAN	O75934	SPF27_HUMAN	BCAS2	225	17.80	Homo sapiens OX=9606	Pre-mRNA-splicing factor SPF27 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	0	0	0	     0	     0	     0			
82	a	sp|O76003|GLRX3_HUMAN	O76003	GLRX3_HUMAN	GLRX3	335	28.70	Homo sapiens OX=9606	Glutaredoxin-3 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	22	22	0	29477660	29477660	     0	N-term(42.0106)		
83	a	sp|O76024|WFS1_HUMAN	O76024	WFS1_HUMAN	WFS1	890	3.10	Homo sapiens OX=9606	Wolframin 	1:Experimental evidence at protein level	1.0000	0.9983	3	3	3	0	2	2	0	1723535	1723535	     0			
84	a	sp|O76071|CIAO1_HUMAN	O76071	CIAO1_HUMAN	CIAO1	339	9.10	Homo sapiens OX=9606	Probable cytosolic iron-sulfur protein assembly protein CIAO1 	1:Experimental evidence at protein level	1.0000	0.9990	2	4	4	0	4	4	0	3408084	3408084	     0			
85	a	sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	11.50	Homo sapiens OX=9606	Metastasis-associated protein MTA2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	4	4	0	11573291	11573291	     0			
86	a	sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	37.70	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM70 	1:Experimental evidence at protein level	1.0000	0.9990	15	20	20	0	45	45	0	42987207	42987207	     0			
87	a	sp|O94874|UFL1_HUMAN	O94874	UFL1_HUMAN	UFL1	794	16.20	Homo sapiens OX=9606	E3 UFM1-protein ligase 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	12	12	0	11	11	0	11914641	11914641	     0			
88	a	sp|O94906|PRP6_HUMAN	O94906	PRP6_HUMAN	PRPF6	941	13.40	Homo sapiens OX=9606	Pre-mRNA-processing factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	0	12	12	0	7174764	7174764	     0			
89	a	sp|O94919|ENDD1_HUMAN	O94919	ENDD1_HUMAN	ENDOD1	500	5.40	Homo sapiens OX=9606	Endonuclease domain-containing 1 protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	5	5	0	4731286	4731286	     0			
