Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Stripped Peptides	Total Peptide Ions	Unique Peptide Ions	Razor Peptide Ions	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
12	a	sp|O00193|SMAP_HUMAN	O00193	SMAP_HUMAN	SMAP	183	25.60	Homo sapiens OX=9606	Small acidic protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	5	5	0	3329027	3329027	     0			tr|E9PM92|E9PM92_HUMAN, tr|E9PRZ9|E9PRZ9_HUMAN
13	a	sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	31.30	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	0	2	2	0	2452238	2452238	     0			
14	a	sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	10.10	Homo sapiens OX=9606	Transcription elongation factor SPT5 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	7	7	0	4872602	4872602	     0			
15	a	sp|O00299|CLIC1_HUMAN	O00299	CLIC1_HUMAN	CLIC1	241	41.10	Homo sapiens OX=9606	Chloride intracellular channel protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	10	10	0	17	17	0	102512208	102512208	     0			
16	a	sp|O00401|WASL_HUMAN	O00401	WASL_HUMAN	WASL	505	7.30	Homo sapiens OX=9606	Neural Wiskott-Aldrich syndrome protein 	1:Experimental evidence at protein level	1.0000	0.9987	3	3	3	0	1	1	0	1530154	1530154	     0			
17	a	sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	2.60	Homo sapiens OX=9606	Agrin 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	0	0	0	     0	     0	     0			tr|A0A087X208|A0A087X208_HUMAN, tr|A0A494C0G5|A0A494C0G5_HUMAN, tr|A0A494C1I6|A0A494C1I6_HUMAN
18	a	sp|O00471|EXOC5_HUMAN	O00471	EXOC5_HUMAN	EXOC5	708	3.30	Homo sapiens OX=9606	Exocyst complex component 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	1323434	1323434	     0			tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN, tr|F8W9B8|F8W9B8_HUMAN
19	a	sp|O00483|NDUA4_HUMAN	O00483	NDUA4_HUMAN	NDUFA4	81	32.10	Homo sapiens OX=9606	Cytochrome c oxidase subunit NDUFA4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	11	11	0	114391884	114391884	     0			
20	a	sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	16.10	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 14 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	18	18	0	24647788	24647788	     0			
21	a	sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	12.70	Homo sapiens OX=9606	Importin subunit alpha-4 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	3	0	8	7	0	8239289	6695792	     0	N-term(42.0106)		
22	a	sp|O00625|PIR_HUMAN	O00625	PIR_HUMAN	PIR	290	27.60	Homo sapiens OX=9606	Pirin 	1:Experimental evidence at protein level	1.0000	0.9990	6	7	7	0	8	8	0	12648739	12648739	     0			
23	a	sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	2.50	Homo sapiens OX=9606	AT-rich interactive domain-containing protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	2	2	0	669661	669661	     0			tr|A0A087WUV6|A0A087WUV6_HUMAN, tr|A0A1B0GTU5|A0A1B0GTU5_HUMAN, tr|H0Y488|H0Y488_HUMAN
24	a	sp|O14531|DPYL4_HUMAN	O14531	DPYL4_HUMAN	DPYSL4	572	5.80	Homo sapiens OX=9606	Dihydropyrimidinase-related protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|Q5T0Q6|Q5T0Q6_HUMAN
25	a	sp|O14579|COPE_HUMAN	O14579	COPE_HUMAN	COPE	308	37.00	Homo sapiens OX=9606	Coatomer subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	13	13	0	23874488	23874488	     0			tr|M0QXB4|M0QXB4_HUMAN, tr|M0R061|M0R061_HUMAN
26	a	sp|O14653|GOSR2_HUMAN	O14653	GOSR2_HUMAN	GOSR2	212	7.20	Homo sapiens OX=9606	Golgi SNAP receptor complex member 2 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	0	0	0	     0	     0	     0			tr|A0A1W2PNV3|A0A1W2PNV3_HUMAN, tr|A0A1W2PPG1|A0A1W2PPG1_HUMAN, tr|A0A1W2PPG5|A0A1W2PPG5_HUMAN, tr|A0A1W2PPJ0|A0A1W2PPJ0_HUMAN, tr|A0A1W2PPP5|A0A1W2PPP5_HUMAN, tr|A0A1W2PPW8|A0A1W2PPW8_HUMAN, tr|A0A1W2PQ06|A0A1W2PQ06_HUMAN, tr|A0A1W2PQ38|A0A1W2PQ38_HUMAN, tr|A0A1W2PQ77|A0A1W2PQ77_HUMAN, tr|A0A1W2PQE0|A0A1W2PQE0_HUMAN, tr|A0A1W2PQM3|A0A1W2PQM3_HUMAN, tr|A0A1W2PQP2|A0A1W2PQP2_HUMAN, tr|A0A1W2PR02|A0A1W2PR02_HUMAN, tr|A0A1W2PR23|A0A1W2PR23_HUMAN, tr|A0A1W2PRC2|A0A1W2PRC2_HUMAN, tr|A0A1W2PRD0|A0A1W2PRD0_HUMAN, tr|A0A1W2PRE6|A0A1W2PRE6_HUMAN, tr|A0A1W2PRL0|A0A1W2PRL0_HUMAN, tr|A0A1W2PRP7|A0A1W2PRP7_HUMAN, tr|A0A1W2PRV0|A0A1W2PRV0_HUMAN, tr|A0A1W2PS12|A0A1W2PS12_HUMAN, tr|A0A1W2PS81|A0A1W2PS81_HUMAN, tr|A0A1X7SBU8|A0A1X7SBU8_HUMAN, tr|E7EQ34|E7EQ34_HUMAN, tr|I3L0K1|I3L0K1_HUMAN, tr|I3L1K7|I3L1K7_HUMAN, tr|I3L4Z6|I3L4Z6_HUMAN, tr|I3NI02|I3NI02_HUMAN
27	a	sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	17.00	Homo sapiens OX=9606	Secretory carrier-associated membrane protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	13	13	0	12855808	12855808	     0			
28	a	sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	6.90	Homo sapiens OX=9606	Histone acetyltransferase type B catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	2566854	2566854	     0			
29	a	sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	47.60	Homo sapiens OX=9606	Cytochrome b-c1 complex subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	19	19	0	80314228	80314228	     0			
30	a	sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	3.10	Homo sapiens OX=9606	Phosphoribosylformylglycinamidine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	5	5	0	3932382	3932382	     0			
31	a	sp|O15173|PGRC2_HUMAN	O15173	PGRC2_HUMAN	PGRMC2	223	12.60	Homo sapiens OX=9606	Membrane-associated progesterone receptor component 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	11	11	0	18281334	18281334	     0			
32	a	sp|O15230|LAMA5_HUMAN	O15230	LAMA5_HUMAN	LAMA5	3695	2.10	Homo sapiens OX=9606	Laminin subunit alpha-5 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	0	5	5	0	4678596	4678596	     0			
33	a	sp|O15239|NDUA1_HUMAN	O15239	NDUA1_HUMAN	NDUFA1	70	18.60	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	3	3	0	8	8	0	9861970	9861970	     0			
34	a	sp|O15247|CLIC2_HUMAN	O15247	CLIC2_HUMAN	CLIC2	247	40.60	Homo sapiens OX=9606	Chloride intracellular channel protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	7	7	0	7126538	7126538	     0	N-term(42.0106)		tr|A6PVS0|A6PVS0_HUMAN
35	a	sp|O15269|SPTC1_HUMAN	O15269	SPTC1_HUMAN	SPTLC1	473	4.90	Homo sapiens OX=9606	Serine palmitoyltransferase 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	6	6	0	4575382	4575382	     0			
36	a	sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	1046	2.80	Homo sapiens OX=9606	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	4	4	0	7554878	7554878	     0	N-term(42.0106)		
37	a	sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	200	26.80	Homo sapiens OX=9606	High mobility group protein B3 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	10	10	0	5083434	5083434	     0			tr|E7EQU1|E7EQU1_HUMAN, tr|E7ES08|E7ES08_HUMAN, tr|E9PES6|E9PES6_HUMAN
38	a	sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	11.70	Homo sapiens OX=9606	Protein phosphatase 1G 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	1	1	0	913157	913157	     0			
39	a	sp|O15400|STX7_HUMAN	O15400	STX7_HUMAN	STX7	261	29.90	Homo sapiens OX=9606	Syntaxin-7 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	15	15	0	12588420	12588420	     0	N-term(42.0106)		
40	a	sp|O15446|RPA34_HUMAN	O15446	RPA34_HUMAN	CD3EAP	510	11.40	Homo sapiens OX=9606	DNA-directed RNA polymerase I subunit RPA34 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	1	1	0	1382475	1382475	     0			
41	a	sp|O15498|YKT6_HUMAN	O15498	YKT6_HUMAN	YKT6	198	19.20	Homo sapiens OX=9606	Synaptobrevin homolog YKT6 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	5	5	0	1997273	1997273	     0			
42	a	sp|O43172|PRP4_HUMAN	O43172	PRP4_HUMAN	PRPF4	522	4.20	Homo sapiens OX=9606	U4/U6 small nuclear ribonucleoprotein Prp4 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	0	1	1	0	1347688	1347688	     0			
43	a	sp|O43272|PROD_HUMAN	O43272	PROD_HUMAN	PRODH	600	5.50	Homo sapiens OX=9606	Proline dehydrogenase 1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	1746587	1746587	     0			tr|A0A087WWM6|A0A087WWM6_HUMAN, tr|E7EQL6|E7EQL6_HUMAN
44	a	sp|O43395|PRPF3_HUMAN	O43395	PRPF3_HUMAN	PRPF3	683	2.80	Homo sapiens OX=9606	U4/U6 small nuclear ribonucleoprotein Prp3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	3	3	0	4421147	4421147	     0			
45	a	sp|O43493|TGON2_HUMAN	O43493	TGON2_HUMAN	TGOLN2	437	6.40	Homo sapiens OX=9606	Trans-Golgi network integral membrane protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	629381	629381	     0			tr|A0A5F9UY30|A0A5F9UY30_HUMAN, tr|A0A5H1ZRP2|A0A5H1ZRP2_HUMAN
46	a	sp|O43598|DNPH1_HUMAN	O43598	DNPH1_HUMAN	DNPH1	174	25.30	Homo sapiens OX=9606	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	12	12	0	19702240	19702240	     0			tr|H0Y8X4|H0Y8X4_HUMAN
47	a	sp|O43674|NDUB5_HUMAN	O43674	NDUB5_HUMAN	NDUFB5	189	24.90	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	15	15	0	47967456	47967456	     0			tr|E7EWP0|E7EWP0_HUMAN, tr|H0Y886|H0Y886_HUMAN
48	a	sp|O43676|NDUB3_HUMAN	O43676	NDUB3_HUMAN	NDUFB3	98	38.50	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	10	10	0	58662116	58662116	     0			tr|C9JKQ2|C9JKQ2_HUMAN
49	a	sp|O43678|NDUA2_HUMAN	O43678	NDUA2_HUMAN	NDUFA2	99	41.40	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	6	6	0	9	9	0	18801598	18801598	     0			
50	a	sp|O43813|LANC1_HUMAN	O43813	LANC1_HUMAN	LANCL1	399	37.80	Homo sapiens OX=9606	Glutathione S-transferase LANCL1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	7	7	0	9199459	9199459	     0			tr|E9PHS0|E9PHS0_HUMAN, tr|F8WDS9|F8WDS9_HUMAN
51	a	sp|O43818|U3IP2_HUMAN	O43818	U3IP2_HUMAN	RRP9	475	5.70	Homo sapiens OX=9606	U3 small nucleolar RNA-interacting protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	6	6	0	3081380	3081380	     0			
52	a	sp|O43854|EDIL3_HUMAN	O43854	EDIL3_HUMAN	EDIL3	480	13.10	Homo sapiens OX=9606	EGF-like repeat and discoidin I-like domain-containing protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	3	3	0	8228478	8228478	     0			
53	a	sp|O43920|NDUS5_HUMAN	O43920	NDUS5_HUMAN	NDUFS5	106	34.00	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	5	5	0	20	20	0	58924333	58924333	     0			
54	a	sp|O60493|SNX3_HUMAN	O60493	SNX3_HUMAN	SNX3	162	41.40	Homo sapiens OX=9606	Sorting nexin-3 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	7	0	14	13	0	51308782	48389450	     0	N-term(42.0106)		
55	a	sp|O60763|USO1_HUMAN	O60763	USO1_HUMAN	USO1	962	26.60	Homo sapiens OX=9606	General vesicular transport factor p115 	1:Experimental evidence at protein level	1.0000	0.9990	18	19	19	0	33	33	0	22485086	22485086	     0			
56	a	sp|O60783|RT14_HUMAN	O60783	RT14_HUMAN	MRPS14	128	28.90	Homo sapiens OX=9606	28S ribosomal protein S14, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	14	14	0	18540736	18540736	     0			
57	a	sp|O60826|CCD22_HUMAN	O60826	CCD22_HUMAN	CCDC22	627	4.90	Homo sapiens OX=9606	Coiled-coil domain-containing protein 22 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			
58	a	sp|O60828|PQBP1_HUMAN	O60828	PQBP1_HUMAN	PQBP1	265	12.00	Homo sapiens OX=9606	Polyglutamine-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	1	2	2	0	3	3	0	1780423	1780423	     0			tr|H7C053|H7C053_HUMAN
59	a	sp|O60841|IF2P_HUMAN	O60841	IF2P_HUMAN	EIF5B	1220	15.40	Homo sapiens OX=9606	Eukaryotic translation initiation factor 5B 	1:Experimental evidence at protein level	1.0000	0.9990	12	13	13	0	9	9	0	15100243	15100243	     0			tr|A0A087WUT6|A0A087WUT6_HUMAN
60	a	sp|O60869|EDF1_HUMAN	O60869	EDF1_HUMAN	EDF1	148	16.90	Homo sapiens OX=9606	Endothelial differentiation-related factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	5	5	0	11173052	11173052	     0			
61	a	sp|O60888|CUTA_HUMAN	O60888	CUTA_HUMAN	CUTA	179	20.70	Homo sapiens OX=9606	Protein CutA 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	5	5	0	39915415	39915415	     0			tr|C9IZG4|C9IZG4_HUMAN
62	a	sp|O75146|HIP1R_HUMAN	O75146	HIP1R_HUMAN	HIP1R	1068	9.10	Homo sapiens OX=9606	Huntingtin-interacting protein 1-related protein 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	4	4	0	2864538	2864538	     0			
63	a	sp|O75306|NDUS2_HUMAN	O75306	NDUS2_HUMAN	NDUFS2	463	46.20	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	15	23	23	0	65	65	0	65897668	65897668	     0	9M(15.9949)		
64	a	sp|O75312|ZPR1_HUMAN	O75312	ZPR1_HUMAN	ZPR1	459	6.50	Homo sapiens OX=9606	Zinc finger protein ZPR1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	3	3	0	1175519	1175519	     0			tr|H7BZM7|H7BZM7_HUMAN, tr|H7C0E5|H7C0E5_HUMAN
65	a	sp|O75368|SH3L1_HUMAN	O75368	SH3L1_HUMAN	SH3BGRL	114	52.60	Homo sapiens OX=9606	SH3 domain-binding glutamic acid-rich-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	2	2	0	1697703	1697703	     0			
66	a	sp|O75381|PEX14_HUMAN	O75381	PEX14_HUMAN	PEX14	377	27.90	Homo sapiens OX=9606	Peroxisomal membrane protein PEX14 	1:Experimental evidence at protein level	1.0000	0.9990	5	7	7	0	11	11	0	12119791	12119791	     0	N-term(42.0106)		
67	a	sp|O75382|TRIM3_HUMAN	O75382	TRIM3_HUMAN	TRIM3	744	3.80	Homo sapiens OX=9606	Tripartite motif-containing protein 3 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	0	1	1	0	865609	865609	     0			tr|A0A1W2PPI7|A0A1W2PPI7_HUMAN
68	a	sp|O75438|NDUB1_HUMAN	O75438	NDUB1_HUMAN	NDUFB1	58	32.80	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	2	2	0	2452709	2452709	     0			
69	a	sp|O75531|BAF_HUMAN	O75531	BAF_HUMAN	BANF1	89	42.70	Homo sapiens OX=9606	Barrier-to-autointegration factor 	1:Experimental evidence at protein level	1.0000	0.9990	3	6	6	0	9	9	0	66230357	66230357	     0			
70	a	sp|O75607|NPM3_HUMAN	O75607	NPM3_HUMAN	NPM3	178	17.40	Homo sapiens OX=9606	Nucleoplasmin-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	3	3	0	2	2	0	4491713	4491713	     0			
71	a	sp|O75691|UTP20_HUMAN	O75691	UTP20_HUMAN	UTP20	2785	2.50	Homo sapiens OX=9606	Small subunit processome component 20 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	0	6	6	0	13439811	13439811	     0			
72	a	sp|O75694|NU155_HUMAN	O75694	NU155_HUMAN	NUP155	1391	11.40	Homo sapiens OX=9606	Nuclear pore complex protein Nup155 	1:Experimental evidence at protein level	1.0000	0.9990	10	11	11	0	25	25	0	18861210	18861210	     0			tr|E9PF10|E9PF10_HUMAN
73	a	sp|O75695|XRP2_HUMAN	O75695	XRP2_HUMAN	RP2	350	6.90	Homo sapiens OX=9606	Protein XRP2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	1	1	0	745780	745780	     0			
74	a	sp|O75718|CRTAP_HUMAN	O75718	CRTAP_HUMAN	CRTAP	401	7.50	Homo sapiens OX=9606	Cartilage-associated protein 	1:Experimental evidence at protein level	1.0000	0.9990	3	4	4	0	10	10	0	10095108	10095108	     0			tr|C9JP16|C9JP16_HUMAN
75	a	sp|O75764|TCEA3_HUMAN	O75764	TCEA3_HUMAN	TCEA3	348	7.50	Homo sapiens OX=9606	Transcription elongation factor A protein 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	0	0	0	     0	     0	     0			tr|S4R3M9|S4R3M9_HUMAN
76	a	sp|O75817|POP7_HUMAN	O75817	POP7_HUMAN	POP7	140	18.20	Homo sapiens OX=9606	Ribonuclease P protein subunit p20 	1:Experimental evidence at protein level	1.0000	0.9988	2	2	2	0	3	3	0	14885194	14885194	     0			tr|C9JYM0|C9JYM0_HUMAN
77	a	sp|O75844|FACE1_HUMAN	O75844	FACE1_HUMAN	ZMPSTE24	475	10.50	Homo sapiens OX=9606	CAAX prenyl protease 1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	0	4	4	0	1617721	1617721	     0			
78	a	sp|O75879|GATB_HUMAN	O75879	GATB_HUMAN	GATB	557	9.20	Homo sapiens OX=9606	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	0	3	3	0	2625047	2625047	     0			tr|D6RDU9|D6RDU9_HUMAN, tr|D6REA0|D6REA0_HUMAN
79	a	sp|O75880|SCO1_HUMAN	O75880	SCO1_HUMAN	SCO1	301	24.40	Homo sapiens OX=9606	Protein SCO1 homolog, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	6	6	0	22	22	0	55155221	55155221	     0			tr|J3QL56|J3QL56_HUMAN
80	a	sp|O75886|STAM2_HUMAN	O75886	STAM2_HUMAN	STAM2	525	9.50	Homo sapiens OX=9606	Signal transducing adapter molecule 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	3	0	7	4	0	9392972	7306157	     0			
81	a	sp|O75934|SPF27_HUMAN	O75934	SPF27_HUMAN	BCAS2	225	17.80	Homo sapiens OX=9606	Pre-mRNA-splicing factor SPF27 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	0	0	0	0	     0	     0	     0			
82	a	sp|O76003|GLRX3_HUMAN	O76003	GLRX3_HUMAN	GLRX3	335	28.70	Homo sapiens OX=9606	Glutaredoxin-3 	1:Experimental evidence at protein level	1.0000	0.9990	7	8	8	0	22	22	0	31329502	31329502	     0	N-term(42.0106)		
83	a	sp|O76024|WFS1_HUMAN	O76024	WFS1_HUMAN	WFS1	890	3.10	Homo sapiens OX=9606	Wolframin 	1:Experimental evidence at protein level	1.0000	0.9983	3	3	3	0	2	2	0	946777	946777	     0			
84	a	sp|O76071|CIAO1_HUMAN	O76071	CIAO1_HUMAN	CIAO1	339	9.10	Homo sapiens OX=9606	Probable cytosolic iron-sulfur protein assembly protein CIAO1 	1:Experimental evidence at protein level	1.0000	0.9990	2	4	4	0	6	6	0	2392376	2392376	     0			
85	a	sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	11.50	Homo sapiens OX=9606	Metastasis-associated protein MTA2 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	0	7	7	0	18865577	18865577	     0			
86	a	sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	37.70	Homo sapiens OX=9606	Mitochondrial import receptor subunit TOM70 	1:Experimental evidence at protein level	1.0000	0.9990	15	20	20	0	65	65	0	50840902	50840902	     0	N-term(42.0106)		
87	a	sp|O94874|UFL1_HUMAN	O94874	UFL1_HUMAN	UFL1	794	16.20	Homo sapiens OX=9606	E3 UFM1-protein ligase 1 	1:Experimental evidence at protein level	1.0000	0.9990	11	12	12	0	16	16	0	15271479	15271479	     0			
88	a	sp|O94906|PRP6_HUMAN	O94906	PRP6_HUMAN	PRPF6	941	13.40	Homo sapiens OX=9606	Pre-mRNA-processing factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	0	23	23	0	39447646	39447646	     0			
89	a	sp|O94919|ENDD1_HUMAN	O94919	ENDD1_HUMAN	ENDOD1	500	5.40	Homo sapiens OX=9606	Endonuclease domain-containing 1 protein 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	0	7	7	0	6167312	6167312	     0			
